vendor_id,vendor_name,payment_terms,category,active,tax_id
MW-V101,Coastal Office Supply Co.,30 days,Office Supplies,Yes,BN835098955RT0001
MW-V102,Evergreen Landscaping Group,30 days,Landscaping,No,BN902099969RT0001
MW-V103,Sentinel Security Services,30 days,Security,Yes,BN369953851RT0001
MW-V104,Harborline Professional Services,45 days,Professional Services,No,
MW-V105,Fraser Valley Electrical,30 days,Facilities,Yes,BN751325257RT0001
MW-V106,Redwood Legal Partners,30 days,Professional Services,Yes,BN713152854RT0001
MW-V107,Cascade Waste Management,30 days,Waste,No,BN204078666RT0001
MW-V108,Union Bay Insurance Brokers,30 days,Insurance,Yes,BN154318806RT0001
MW-V109,Silverline Telecom  ,45 days,IT Services,No,
MW-V110,Granite Ridge Contractors,45 days,Facilities,No,BN554200826RT0001
