vendor_id,vendor_name,category,standard_terms_days,tax_id
1,Coastal Office Supply Co.,Office Supplies,30,BN835098955RT0001
2,Evergreen Landscaping Group,Landscaping,30,BN902099969RT0001
3,Clearwater Cleaning Co.,Janitorial,30,BN875340444RT0001
4,Summit Utilities Consulting,Utilities,30,BN214257751RT0001
5,Harborline Professional Services,Professional Services,45,BN489747629RT0001
6,Bluepine HVAC Systems,Facilities,15,BN176228245RT0001
7,Redwood Legal Partners,Professional Services,30,BN176082500RT0001
8,Cascade Waste Management,Waste,30,BN823019672RT0001
9,Nightingale Payroll Services,Professional Services,30,BN278575192RT0001
10,Sentinel Security Services,Security,30,BN369953851RT0001
11,Fraser Valley Electrical,Facilities,30,BN751325257RT0001
12,Union Bay Insurance Brokers,Insurance,30,BN154318806RT0001
13,Silverline Telecom,IT Services,45,
14,Granite Ridge Contractors,Facilities,45,BN554200826RT0001
15,Northgate Facilities Maintenance,Facilities,30,BN819595113RT0001
16,Brightpath IT Solutions,IT Services,30,BN275452091RT0001
17,Peak Fleet Maintenance,Fleet,45,BN865523129RT0001
18,Aldergrove Signage & Print,Marketing,30,BN596743109RT0001
